pc1,pc2,sparsity
-0.2921107,0.09076295,256
0.35493228,0.42389902,1
-0.20418526,-0.1826536,8
-0.18905798,0.43692723,1
0.58548725,0.14953755,1
-0.29782787,0.22567996,2
-0.28383994,0.11137103,448
0.37711906,-0.07145292,1
-0.2750156,-0.28026667,24
-0.22997177,-0.01921322,256
-0.038765397,-0.021448063,1
-0.3248215,0.07166201,512
-0.35920468,0.056838617,48
-0.018285878,-0.07058351,2
-0.20540334,-0.05284796,2
-0.15234129,0.19789805,2
-0.13447486,-0.29342988,1
-0.37382782,-0.106521085,2
-0.01987243,0.13398926,1
0.23227902,-0.01680716,2
-0.21194533,0.04510394,32
-0.16852151,0.2173124,4
-0.22728488,0.13179225,22
0.26438347,0.17181331,2
-0.27957055,0.24100928,64
-0.22110511,-0.35805705,64
-0.2883448,0.0533062,1
-0.17457904,0.048942965,32
-0.20918527,0.10005598,1
0.25960025,0.018972311,1
-0.16487086,0.1867204,12
-0.09307433,-0.25706127,1
0.51253104,-0.053228155,1
-0.20851006,-0.27255642,2
-0.08991201,-0.3661635,16
-0.3226684,0.08667335,1024
-0.07087188,-0.2075046,2
0.29392892,-0.16465378,2
0.01399234,-0.07315937,2
0.46740448,-0.07401996,2
-0.21897483,0.15119275,2
-0.067592464,-0.3046455,4
0.02008097,0.3851546,2
0.23753272,-0.07075942,2
-0.05051156,-0.3243245,4
0.056116216,-0.14213644,1
-0.13054322,0.08621096,64
0.2885569,-0.20724447,2
-0.37348726,-0.074609146,4
-0.42204058,0.18159549,511
-0.21403658,-0.26773697,1
-0.23446174,-0.23326185,48
-0.06966291,0.21493681,64
0.6869743,-0.111267135,1
-0.24633786,0.305824,2
-0.38272813,-0.008727727,256
-0.22389656,0.29276106,1
0.009585933,0.35751617,1
-0.17099975,0.10457781,4
-0.1023814,-0.26098034,8
-0.14660813,0.12242313,2
-0.13763669,0.11321838,2
-0.1329477,-0.11417926,4
-0.050292887,0.116538234,4
0.5649324,-0.018643534,2
0.45456046,-0.20146896,2
-0.0874352,-0.2149191,8
-0.15427166,0.015565621,8
0.5366759,0.027231185,2
0.52457017,-0.19276822,2
-0.27382118,0.13998821,256
-0.071067594,0.052026108,2
-0.10169093,-0.101802975,2
-0.053282235,-0.33965364,2
0.22026336,-0.12467976,1
-0.41265848,0.04775376,12
-0.19921339,-0.26927918,64
0.55532265,-0.046562977,2
-0.10756414,0.2761657,64
0.008782906,0.32682294,2
-0.15822747,-0.22451589,2
-0.2353416,0.38462538,1
0.09766732,-0.2010711,2
-0.07321688,0.24023981,2
-0.25021693,0.09886203,28
-0.16226597,0.2375624,4
-0.26453364,-0.0698345,512
-0.22858272,0.018580114,128
0.24125636,-0.17522188,2
-0.35579875,-0.02549443,1
0.3507133,0.38222322,1
0.551076,-0.039069694,1
0.1366716,-0.14392342,64
0.067050554,-0.1873935,128
-0.18082677,0.14974982,128
0.38737774,-0.12158697,1
-0.12699582,0.08837926,6
-0.33839723,0.063939385,16
-0.17594907,0.18903418,4
-0.2764541,0.06644623,140
0.23982587,0.2057513,1
0.63995403,0.17598185,1
-0.24763638,-0.09355222,2
0.24691075,0.06252083,1
-0.26256433,-0.0646146,2
-0.33203554,-0.0005858141,32
-0.039983355,0.19373828,20
0.42229375,-0.08083489,2
0.46908465,0.029419715,1
-0.37975046,0.10808056,4
-0.09745102,0.05507381,2
0.12005252,-0.038399726,1
-0.2024359,-0.047727022,1
0.20256673,-0.23316966,1
0.19972731,-0.23319893,2
0.19876586,-0.14074184,2
-0.32877216,0.24947165,256
-0.3353528,0.115662105,8
-0.40605137,-0.11745105,1
0.26722482,0.35922122,2
-0.044614177,0.21326946,1
0.0251932,-0.10038616,1
-0.11261975,-0.16471381,2
-0.30077887,0.20047213,512
-0.1910391,-0.16929632,24
-0.16040911,-0.24678585,1
-0.014788799,0.32616168,1
0.51453835,-0.08679336,2
0.45356607,-0.09376707,2
0.0432807,0.07561083,2
0.40157527,-0.090313554,4
-0.018231982,-0.37783766,2
-0.19022919,-0.24162242,4
0.40748823,0.04093694,1
-0.19380173,-0.32502344,384
-0.101593606,-0.22106135,2
-0.08653864,0.37304905,1
-0.19686791,-0.1974154,4
0.21248984,-0.088752195,1
0.059114166,0.43421522,1
-0.113544635,0.15262727,36
-0.23850276,-0.29666993,1
0.07336613,-0.026916133,2
-0.062255923,-0.10348473,2
0.057060998,0.327251,1
-0.298016,-0.30647165,256
-0.20178959,0.004774494,4
0.15752494,0.3103569,2
-0.15757902,0.08094491,16
0.27305174,0.16376969,1
0.2579109,0.027336173,1
0.4142138,-0.007779295,1
0.64007676,-0.07214378,1
0.58548725,0.14953755,1
-0.20843343,-0.16402698,4
0.10935541,-0.042141136,2
-0.079330444,-0.29816848,2
-0.12741844,0.32012433,1
-0.20089442,0.058096267,5
-0.08123561,-0.16803414,2
0.19931823,-0.05608353,1
0.096234195,0.1467446,2
0.3140388,0.42360812,1
-0.080592126,-0.07887351,1
-0.18424182,-0.1338287,2
0.5102734,-0.056144204,2
0.016397307,0.060605124,1
-0.1668812,-0.040060394,6
-0.23040877,-0.24453367,4
-0.18622266,0.25357845,2
-0.04607196,0.37877753,1
-0.09183792,-0.30276987,128
0.021183351,-0.18514797,2
-0.20469655,0.2022908,256
0.095645696,-0.17648824,1
-0.0025728992,-0.12872373,4
-0.1873329,0.08355686,64
0.18972947,0.28703198,4
0.15714012,-0.028259577,2
-0.09468795,0.15475836,1
0.4650078,-0.0073084873,1
-0.41448417,0.016867042,12
0.39071673,0.08056552,1
-0.2710749,0.30522877,12
-0.040758315,-0.13455449,1
-0.018902969,-0.11045589,2
-0.23071165,-0.028042188,1
0.55532265,-0.046562977,2
-0.011757191,0.13759029,2
-0.071154825,0.19571939,1
-0.32662156,-0.18069477,24
0.5081045,0.006841402,1
-0.27058837,-0.34780592,128
0.040771842,0.0036220322,1
0.36160266,-0.0043487493,1
-0.2565251,0.09038926,1
0.18779959,-0.09931952,2
-0.05470232,0.2772703,1
-0.12236543,-0.13301106,1
-0.16017091,-0.4168877,128
0.2932251,-0.054822788,1
0.6869743,-0.111267135,1
